pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
-3.37304e-24,-3.40977e-24,1.9022e-25,-3.3825e-27,-3.41933e-27,1.90754e-28,1.98847e+30
6.07941e+46,1.91762e+47,1.0085e+46,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
1.24229e+48,3.89146e+46,-7.11728e+46,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
1.37218e+47,-8.09615e+47,3.74019e+44,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-4.39734e+46,6.68814e+44,1.09484e+45,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-8.69325e+48,-7.35299e+48,1.55798e+47,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-6.84183e+47,-5.90631e+47,1.67701e+46,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-1.64159e+46,1.89891e+46,1.37245e+44,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-3.04433e+46,1.13269e+46,1.39062e+46,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
1.79888e+43,-6.0588e+42,-3.5019e+42,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
4.0035e+41,-5.19139e+43,-8.60691e+43,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-2.13668e+41,-7.43659e+40,6.30776e+40,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
1.79922e+41,2.00283e+40,-8.75764e+40,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
1.31232e+41,-3.45694e+40,-7.50391e+40,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-2.813e+40,1.77055e+40,3.11037e+39,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
3.77692e+40,8.97195e+40,-1.1621e+40,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-1.30619e+40,-1.34676e+40,3.91936e+39,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
2.79202e+40,-2.28062e+40,1.0687e+40,2.79341e+37,-2.28176e+37,1.06924e+37,6.348e+20
-3.04264e+40,1.21918e+40,-1.23426e+40,-3.04416e+37,1.21979e+37,-1.23488e+37,4.922e+20
1.75539e+45,-9.94887e+45,-2.47126e+42,1.75627e+42,-9.95385e+42,-2.4725e+39,7.34581e+22
-7.2773e+38,1.09706e+37,1.81266e+37,-7.28094e+35,1.09761e+34,1.81357e+34,1.06192e+16
-9.87536e+37,1.48837e+36,2.45409e+36,-9.8803e+34,1.48912e+33,2.45531e+33,1.44069e+15
-4.088e+44,-2.73978e+44,9.94606e+42,-4.09005e+41,-2.74115e+41,9.95104e+39,8.92968e+22
-2.23808e+44,-1.71811e+44,4.59641e+42,-2.2392e+41,-1.71897e+41,4.59871e+39,4.79859e+22
-6.41981e+44,-4.7023e+44,1.65475e+43,-6.42302e+41,-4.70465e+41,1.65558e+40,1.48148e+23
-4.64198e+44,-3.41333e+44,1.1742e+43,-4.6443e+41,-3.41504e+41,1.17479e+40,1.07566e+23
-1.06907e+40,-7.83947e+39,2.71717e+38,-1.06961e+37,-7.84339e+36,2.71853e+35,2.46564e+18
-9.71511e+39,-7.32786e+39,1.70539e+38,-9.71997e+36,-7.33152e+36,1.70624e+35,2.27069e+18
-3.85999e+39,-2.82229e+39,7.14385e+37,-3.86192e+36,-2.8237e+36,7.14742e+34,8.69228e+17
-1.36749e+39,-9.50052e+38,6.51873e+36,-1.36817e+36,-9.50527e+35,6.52199e+33,2.99734e+17
-3.2327e+38,-2.56632e+38,6.09844e+36,-3.23432e+35,-2.5676e+35,6.10149e+33,7.49334e+16
-2.67043e+38,-1.93723e+38,6.44386e+36,-2.67177e+35,-1.9382e+35,6.44708e+33,6.29441e+16
-6.16397e+38,-4.40702e+38,2.25016e+37,-6.16706e+35,-4.40922e+35,2.25128e+34,1.31883e+17
-1.21838e+38,-9.16225e+37,4.81817e+36,-1.21899e+35,-9.16683e+34,4.82058e+33,2.99734e+16
-4.68374e+37,-3.35366e+37,8.26333e+35,-4.68608e+34,-3.35534e+34,8.26747e+32,1.09403e+16
-1.96047e+39,-1.43663e+39,4.98955e+37,-1.96145e+36,-1.43735e+36,4.99205e+34,4.51704e+17
-9.03452e+36,-6.62192e+36,2.2975e+35,-9.03904e+33,-6.62524e+33,2.29865e+32,2.08262e+15
-1.62607e+38,-1.19188e+38,4.13685e+36,-1.62688e+35,-1.19247e+35,4.13892e+33,3.74722e+16
-3.66234e+36,-2.8728e+36,4.0808e+34,-3.66417e+33,-2.87424e+33,4.08284e+31,8.69228e+14
-2.9659e+36,-2.14805e+36,5.87596e+34,-2.96738e+33,-2.14913e+33,5.8789e+31,6.89388e+14
-9.64185e+35,-7.33345e+35,5.51343e+32,-9.64668e+32,-7.33712e+32,5.51619e+29,2.09814e+14
-7.27609e+35,-4.95168e+35,1.98166e+34,-7.27973e+32,-4.95416e+32,1.98265e+31,1.64854e+14
-3.10535e+35,-2.21244e+35,5.1536e+33,-3.10691e+32,-2.21354e+32,5.15618e+30,7.49334e+13
-4.86365e+35,-3.65303e+35,1.62967e+34,-4.86608e+32,-3.65486e+32,1.63048e+31,1.19894e+14
-8.60407e+35,-5.843e+35,1.21751e+34,-8.60838e+32,-5.84592e+32,1.21812e+31,1.94827e+14
-8.17059e+35,-5.75377e+35,3.77893e+34,-8.17468e+32,-5.75664e+32,3.78082e+31,1.94827e+14
-1.82424e+35,-1.39524e+35,6.6721e+33,-1.82516e+32,-1.39594e+32,6.67544e+30,4.49600e+13
-3.49465e+35,-2.50877e+35,1.28126e+34,-3.4964e+32,-2.51003e+32,1.2819e+31,7.49334e+13
-1.91213e+36,-1.31864e+36,7.25732e+34,-1.91309e+33,-1.3193e+33,7.26095e+31,4.34614e+14
-3.60045e+35,-2.7166e+35,1.31491e+34,-3.60225e+32,-2.71796e+32,1.31557e+31,8.99201e+13
-4.09145e+35,-2.80728e+35,1.68466e+34,-4.09349e+32,-2.80868e+32,1.6855e+31,8.99201e+13
-4.14867e+35,-2.93776e+35,1.9838e+33,-4.15074e+32,-2.93923e+32,1.9848e+30,8.99201e+13
-1.92172e+35,-1.52124e+35,6.58101e+33,-1.92268e+32,-1.522e+32,6.5843e+30,4.49600e+13
-2.00214e+35,-1.52665e+35,1.41261e+33,-2.00314e+32,-1.52742e+32,1.41331e+30,4.49600e+13
-1.95777e+35,-1.38157e+35,7.32024e+33,-1.95875e+32,-1.38226e+32,7.32391e+30,4.49600e+13
-6.85307e+34,-4.89685e+34,1.72494e+33,-6.8565e+31,-4.8993e+31,1.72581e+30,1.49867e+13
-6.63453e+34,-5.1292e+34,3.04531e+32,-6.63784e+31,-5.13176e+31,3.04684e+29,1.49867e+13
-7.04892e+34,-5.01263e+34,3.25954e+33,-7.05244e+31,-5.01514e+31,3.26117e+30,1.49867e+13
-6.70712e+34,-5.2052e+34,2.48879e+33,-6.71048e+31,-5.2078e+31,2.49003e+30,1.49867e+13
-7.00071e+34,-4.86304e+34,9.46923e+32,-7.00421e+31,-4.86547e+31,9.47397e+29,1.49867e+13
-2.07581e+35,-1.42449e+35,1.38708e+33,-2.07685e+32,-1.4252e+32,1.38777e+30,4.49600e+13
-6.20498e+34,-4.796e+34,2.96334e+33,-6.20809e+31,-4.79839e+31,2.96482e+30,1.49867e+13
-4.13431e+35,-2.75854e+35,1.80281e+34,-4.13638e+32,-2.75992e+32,1.80371e+31,8.99201e+13
-6.43397e+34,-4.48432e+34,1.98935e+33,-6.43719e+31,-4.48656e+31,1.99035e+30,1.49867e+13
-1.89032e+35,-1.45747e+35,6.08848e+33,-1.89126e+32,-1.4582e+32,6.09153e+30,4.49600e+13
-6.624e+34,-4.57985e+34,1.09749e+33,-6.62731e+31,-4.58214e+31,1.09804e+30,1.49867e+13
-3.72851e+35,-2.85147e+35,9.06897e+33,-3.73037e+32,-2.85289e+32,9.0735e+30,8.99201e+13
-1.90447e+35,-1.42743e+35,1.75608e+33,-1.90542e+32,-1.42814e+32,1.75696e+30,4.49600e+13
-3.60864e+35,-2.70394e+35,6.71147e+33,-3.61045e+32,-2.70529e+32,6.71483e+30,8.99201e+13
-6.94814e+34,-4.7591e+34,2.54234e+33,-6.95162e+31,-4.76148e+31,2.54362e+30,1.49867e+13
-6.38876e+34,-4.94733e+34,2.141e+33,-6.39196e+31,-4.9498e+31,2.14207e+30,1.49867e+13
-6.67708e+34,-5.19984e+34,9.87862e+32,-6.68042e+31,-5.20244e+31,9.88356e+29,1.49867e+13
-2.33158e+34,-1.71611e+34,4.03869e+32,-2.33275e+31,-1.71697e+31,4.04071e+29,5.52e+12
-2.36485e+34,-1.82073e+34,4.84878e+32,-2.36603e+31,-1.82164e+31,4.8512e+29,5.52e+12
-1.18158e+34,-9.1157e+33,6.03598e+31,-1.18218e+31,-9.12026e+30,6.039e+28,2.76e+12
-1.23717e+34,-9.20977e+33,2.24352e+32,-1.23779e+31,-9.21438e+30,2.24464e+29,2.76e+12
-5.87107e+33,-4.16143e+33,5.88205e+31,-5.874e+30,-4.16351e+30,5.88499e+28,1.38e+12
-1.86461e+34,-1.34451e+34,5.06945e+32,-1.86555e+31,-1.34518e+31,5.07199e+29,4.14e+12
-1.81465e+34,-1.28798e+34,5.01703e+32,-1.81556e+31,-1.28863e+31,5.01954e+29,4.14e+12
-4.6439e+40,-3.74965e+40,4.80608e+38,-4.64623e+37,-3.75153e+37,4.80848e+35,3.75095e+19
-1.27554e+41,-1.09471e+41,1.47976e+39,-1.27618e+38,-1.09526e+38,1.4805e+36,1.08032e+20
-6.97271e+41,-6.74783e+41,3.13853e+40,-6.9762e+38,-6.7512e+38,3.1401e+37,6.17498e+20
-1.24959e+42,-1.13917e+42,2.51882e+40,-1.25022e+39,-1.13974e+39,2.52008e+37,1.09549e+21
-2.91552e+42,-1.94308e+42,-1.51385e+41,-2.91698e+39,-1.94405e+39,-1.5146e+38,2.30649e+21
-1.4748e+44,-1.51417e+44,8.5701e+42,-1.47554e+41,-1.51493e+41,8.57439e+39,1.34518e+23
-6.07944e+39,-6.23582e+39,3.5432e+38,-6.08248e+36,-6.23894e+36,3.54497e+35,5.55103e+18
-1.99051e+42,-2.04233e+42,1.12836e+41,-1.99151e+39,-2.04336e+39,1.12892e+38,1.80567e+21
-9.2148e+39,-9.53352e+39,5.24339e+38,-9.21941e+36,-9.53829e+36,5.24601e+35,8.3123e+18
-2.08118e+39,-2.13352e+39,1.19979e+38,-2.08222e+36,-2.13458e+36,1.20039e+35,1.89648e+18
-5.77543e+38,-5.91792e+38,3.32562e+37,-5.77831e+35,-5.92088e+35,3.32729e+34,5.26249e+17
-7.82584e+36,-8.01674e+36,4.49467e+35,-7.82976e+33,-8.02075e+33,4.49691e+32,7.12799e+15
-4.4424e+36,-4.55143e+36,2.55267e+35,-4.44462e+33,-4.5537e+33,2.55395e+32,4.0464e+15
-2.79594e+36,-2.86665e+36,1.61125e+35,-2.79734e+33,-2.86809e+33,1.61206e+32,2.54774e+15
-6.11574e+36,-6.26808e+36,3.51921e+35,-6.1188e+33,-6.27122e+33,3.52097e+32,5.57194e+15
-1.76822e+38,-1.8119e+38,1.01737e+37,-1.76911e+35,-1.81281e+35,1.01788e+34,1.61097e+17
-1.52768e+38,-1.56594e+38,8.79862e+36,-1.52845e+35,-1.56672e+35,8.80303e+33,1.39196e+17
-5.42783e+36,-5.56187e+36,3.12444e+35,-5.43055e+33,-5.56465e+33,3.12601e+32,4.94561e+15
-5.5168e+36,-5.41325e+36,3.28698e+35,-5.51956e+33,-5.41596e+33,3.28863e+32,4.94561e+15
-8.96342e+36,-9.33849e+36,4.4319e+35,-8.9679e+33,-9.34316e+33,4.43412e+32,8.24268e+15
-3.06977e+36,-3.14315e+36,1.40962e+35,-3.07131e+33,-3.14472e+33,1.41033e+32,2.6976e+15
-1.3272e+36,-1.34829e+36,6.93881e+34,-1.32786e+33,-1.34897e+33,6.94228e+31,1.19894e+15
-2.37042e+35,-2.41181e+35,1.36927e+34,-2.37161e+32,-2.41302e+32,1.36995e+31,2.09814e+14
-3.66672e+36,-3.7367e+36,2.49188e+35,-3.66855e+33,-3.73857e+33,2.49313e+32,3.29707e+15
-2.26808e+35,-2.28639e+35,1.20005e+34,-2.26921e+32,-2.28753e+32,1.20065e+31,2.09814e+14
-2.33181e+37,-2.38712e+37,1.2224e+36,-2.33298e+34,-2.38832e+34,1.22301e+33,2.09814e+16
-3.51675e+35,-3.517e+35,2.12606e+34,-3.51851e+32,-3.51876e+32,2.12712e+31,3.1472e+14
-8.5347e+35,-8.54459e+35,4.48085e+34,-8.53897e+32,-8.54887e+32,4.48309e+31,7.64321e+14
-4.33257e+37,-4.33242e+37,3.24895e+36,-4.33473e+34,-4.33459e+34,3.25058e+33,3.89654e+16
-2.31883e+35,-2.39968e+35,1.33066e+34,-2.31999e+32,-2.40088e+32,1.33132e+31,2.09814e+14
-3.87983e+35,-3.99109e+35,2.71583e+34,-3.88177e+32,-3.99308e+32,2.71719e+31,3.44694e+14
-9.86714e+33,-1.01155e+34,5.6887e+32,-9.87207e+30,-1.01205e+31,5.69155e+29,8.99201e+12
-3.61747e+34,-3.70851e+34,2.08691e+33,-3.61928e+31,-3.71036e+31,2.08796e+30,3.29707e+13
-4.93382e+33,-5.0591e+33,2.84485e+32,-4.93628e+30,-5.06163e+30,2.84628e+29,4.49600e+12
-8.55245e+34,-8.76372e+34,4.92453e+33,-8.55673e+31,-8.76811e+31,4.927e+30,7.79308e+13
-2.92552e+35,-2.97018e+35,1.79033e+34,-2.92698e+32,-2.97166e+32,1.79123e+31,2.599e+14
-2.79375e+35,-2.81502e+35,1.548e+34,-2.79514e+32,-2.81643e+32,1.54878e+31,2.599e+14
-2.81687e+35,-2.95788e+35,1.46349e+34,-2.81828e+32,-2.95936e+32,1.46422e+31,2.599e+14
-4.49196e+35,-4.47741e+35,3.2594e+34,-4.49421e+32,-4.47965e+32,3.26103e+31,4.14e+14
-1.69131e+35,-1.70596e+35,1.10236e+34,-1.69215e+32,-1.70681e+32,1.10291e+31,1.495e+14
-8.69192e+34,-8.5963e+34,5.50985e+33,-8.69627e+31,-8.6006e+31,5.51261e+30,7.82e+13
-8.68268e+33,-9.19356e+33,4.95852e+32,-8.68703e+30,-9.19816e+30,4.961e+29,8.28e+12
-2.77222e+35,-2.95571e+35,1.67902e+34,-2.77361e+32,-2.95719e+32,1.67986e+31,2.599e+14
-2.94007e+35,-2.97799e+35,1.56524e+34,-2.94154e+32,-2.97947e+32,1.56602e+31,2.599e+14
-2.95069e+35,-2.98854e+35,1.4491e+34,-2.95216e+32,-2.99003e+32,1.44983e+31,2.599e+14
-2.84814e+35,-2.85041e+35,1.63958e+34,-2.84956e+32,-2.85184e+32,1.6404e+31,2.599e+14
-2.82715e+35,-2.85864e+35,1.79715e+34,-2.82856e+32,-2.86007e+32,1.79805e+31,2.599e+14
-2.76061e+35,-2.96902e+35,1.45806e+34,-2.76199e+32,-2.9705e+32,1.45879e+31,2.599e+14
-1.64514e+33,-1.68606e+33,9.4629e+31,-1.64597e+30,-1.6869e+30,9.46763e+28,1.49867e+12
-2.90736e+35,-2.87917e+35,1.47142e+34,-2.90881e+32,-2.88061e+32,1.47216e+31,2.599e+14
-2.92299e+35,-2.94152e+35,1.62442e+34,-2.92445e+32,-2.94299e+32,1.62523e+31,2.599e+14
-2.92039e+35,-2.92465e+35,1.82956e+34,-2.92185e+32,-2.92611e+32,1.83048e+31,2.599e+14
-6.57796e+31,-6.7407e+31,3.79023e+30,-6.58125e+28,-6.74407e+28,3.79213e+27,5.99467e+10
-2.99704e+41,2.80155e+41,-4.8434e+40,-2.99854e+38,2.80295e+38,-4.84582e+37,1.25052e+21
-3.45078e+41,2.95538e+41,-4.12082e+40,-3.4525e+38,2.95686e+38,-4.12289e+37,1.27495e+21
