pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
0,0,0,0,0,0,1.98847e+30
-0.140728,-0.443901,-0.0233456,0.0211692,-0.00709807,-0.00252287,3.30101e+23
-0.71863,-0.0225038,0.0411718,0.000513539,-0.0203064,-0.000307178,4.86732e+24
-0.168525,0.968783,-4.12049e-06,-0.0172342,-0.0030077,3.56262e-08,5.97219e+24
1.39036,-0.0210097,-0.034618,0.000747937,0.0151865,0.000299757,6.41693e+23
4.00346,2.93535,-0.101823,-0.00456164,0.00644429,7.54351e-05,1.89813e+27
6.40856,6.56804,-0.369127,-0.00428999,0.00389149,0.000102596,5.68319e+26
14.4305,-13.7357,-0.238129,0.00267844,0.00267241,-2.4748e-05,8.68101e+25
16.8108,-24.9927,0.127272,0.00257912,0.0017768,-9.57021e-05,1.0241e+26
-2.37753,0.800777,0.462838,-0.00360547,-0.010579,0.000337984,9.47e+20
-9.87687,-27.958,5.85081,0.00303902,-0.00152992,-0.000717234,1.30293e+22
88.394,30.7649,-26.095,-0.000203571,0.000975618,0.00086896,1.6716e+22
-45.99,-5.11944,22.3854,0.000476911,-0.00206256,0.000368043,4.006e+21
-43.5781,11.4794,24.9181,-0.000708835,-0.00210716,0.000168692,3.1e+21
70.266,-44.2267,-7.76941,0.00135202,0.000642012,0.000666227,1.75e+21
-16.7677,-39.8312,5.15918,0.00243132,-0.000891404,0.00017775,1.4e+21
61.9516,63.8756,-18.5892,-0.00226779,0.000902156,0.000124615,1.194e+21
-35.1385,28.7024,-13.45,-0.00142503,-0.00163434,-0.000517232,6.348e+20
37.5067,-15.0289,15.2148,0.000979894,0.00231709,0.000610237,4.922e+20
-0.170648,0.967166,0.00024024,-0.0169122,-0.00346688,-9.05398e-07,7.34581e+22
1.3904,-0.0209604,-0.0346325,-0.000142171,0.0159346,0.000766173,1.06192e+16
1.39023,-0.020953,-0.0345481,0.000479995,0.0144601,0.000396946,1.44069e+15
4.00376,2.93254,-0.101918,0.0053631,0.00752768,0.000264668,8.92968e+22
3.99924,2.93681,-0.101843,-0.00708684,-0.0011066,-0.000170533,4.79859e+22
3.99654,2.93354,-0.101968,-0.00295696,0.000375734,-0.000131189,1.48148e+23
4.00791,2.94709,-0.101381,-0.00898775,0.00815979,7.28939e-05,1.07566e+23
4.00423,2.93628,-0.101772,-0.0163579,0.0162224,0.000191385,2.46564e+18
3.97139,2.99552,-0.0697138,-0.00620041,0.00562678,0.000728158,2.27069e+18
3.96331,2.89783,-0.0733507,-0.00300974,0.00472951,-0.00034767,8.69228e+17
