pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
-3.3313e-25,-3.36757e-25,1.87866e-26,-3.37633e-27,-3.4131e-27,1.90406e-28,1.98847e+30
6.11286e+45,1.92817e+46,1.01405e+45,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
1.24912e+47,3.91287e+45,-7.15645e+45,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
1.37973e+46,-8.1407e+46,3.76077e+43,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-4.42154e+45,6.72494e+43,1.10086e+44,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-8.74109e+47,-7.39345e+47,1.56655e+46,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-6.87948e+46,-5.93881e+46,1.68624e+45,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-1.65063e+45,1.90936e+45,1.38e+43,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-3.06108e+45,1.13892e+45,1.39827e+45,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
1.80877e+42,-6.09214e+41,-3.52117e+41,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
4.02553e+40,-5.21996e+42,-8.65427e+42,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-2.14844e+40,-7.47751e+39,6.34247e+39,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
1.80912e+40,2.01385e+39,-8.80583e+39,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
1.31955e+40,-3.47596e+39,-7.5452e+39,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-2.82848e+39,1.7803e+39,3.12749e+38,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
3.7977e+39,9.02132e+39,-1.1685e+39,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-1.31338e+39,-1.35417e+39,3.94092e+38,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
2.80738e+39,-2.29317e+39,1.07458e+39,2.79341e+37,-2.28176e+37,1.06924e+37,6.348e+20
-3.05938e+39,1.22589e+39,-1.24106e+39,-3.04416e+37,1.21979e+37,-1.23488e+37,4.922e+20
1.76505e+44,-1.00036e+45,-2.48486e+41,1.75627e+42,-9.95385e+42,-2.4725e+39,7.34581e+22
-7.31735e+37,1.1031e+36,1.82263e+36,-7.28094e+35,1.09761e+34,1.81357e+34,1.06192e+16
-9.9297e+36,1.49656e+35,2.46759e+35,-9.8803e+34,1.48912e+33,2.45531e+33,1.44069e+15
-4.1105e+43,-2.75485e+43,1.00008e+42,-4.09005e+41,-2.74115e+41,9.95104e+39,8.92968e+22
-2.25039e+43,-1.72757e+43,4.6217e+41,-2.2392e+41,-1.71897e+41,4.59871e+39,4.79859e+22
-6.45513e+43,-4.72817e+43,1.66386e+42,-6.42302e+41,-4.70465e+41,1.65558e+40,1.48148e+23
-4.66752e+43,-3.43211e+43,1.18066e+42,-4.6443e+41,-3.41504e+41,1.17479e+40,1.07566e+23
